"batchId ,",147.0,",overall_accuracy, ",68.24829931972789,",step_accuracy, ",72.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",148.0,",overall_accuracy, ",68.2195945945946,",step_accuracy, ",64.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",149.0,",overall_accuracy, ",68.20805369127517,",step_accuracy, ",66.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",150.0,",overall_accuracy, ",68.16666666666666,",step_accuracy, ",62.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",151.0,",overall_accuracy, ",68.13907284768212,",step_accuracy, ",64.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",152.0,",overall_accuracy, ",68.1217105263158,",step_accuracy, ",65.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",153.0,",overall_accuracy, ",68.16013071895425,",step_accuracy, ",74.0,",models, ",Counter({'MobileNetV2': 1}),",",1,",","[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f38e8679748>]]"
"batchId ,",154.0,",overall_accuracy, ",68.16558441558442,",step_accuracy, ",69.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",['MobileNet']
"batchId ,",155.0,",overall_accuracy, ",68.15806451612903,",step_accuracy, ",67.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",156.0,",overall_accuracy, ",68.17307692307692,",step_accuracy, ",70.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",157.0,",overall_accuracy, ",68.17197452229298,",step_accuracy, ",68.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
