"batchId ,",86.0,",overall_accuracy, ",74.38953488372093,",step_accuracy, ",76.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",87.0,",overall_accuracy, ",74.43103448275862,",step_accuracy, ",78.0,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",88.0,",overall_accuracy, ",74.38068181818181,",step_accuracy, ",70.0,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",89.0,",overall_accuracy, ",74.3314606741573,",step_accuracy, ",70.0,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",90.0,",overall_accuracy, ",74.29444444444444,",step_accuracy, ",71.0,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",91.0,",overall_accuracy, ",74.31868131868133,",step_accuracy, ",76.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",92.0,",overall_accuracy, ",74.33152173913044,",step_accuracy, ",75.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",93.0,",overall_accuracy, ",74.34408602150538,",step_accuracy, ",75.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",94.0,",overall_accuracy, ",74.29255319148936,",step_accuracy, ",69.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",95.0,",overall_accuracy, ",74.26842105263158,",step_accuracy, ",72.0,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",96.0,",overall_accuracy, ",74.21875,",step_accuracy, ",69.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
