"batchId ,",89.0,",overall_accuracy, ",75.28089887640449,",step_accuracy, ",73.5,",models, ","Counter({'InceptionResNetV2': 1, 'Xception': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",5,",",['DenseNet121']
"batchId ,",90.0,",overall_accuracy, ",75.25555555555556,",step_accuracy, ",73.0,",models, ","Counter({'InceptionResNetV2': 1, 'Xception': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",6,",",['MobileNet']
"batchId ,",91.0,",overall_accuracy, ",75.28021978021978,",step_accuracy, ",77.5,",models, ","Counter({'InceptionResNetV2': 1, 'Xception': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",6,",",None
"batchId ,",92.0,",overall_accuracy, ",75.29347826086956,",step_accuracy, ",76.5,",models, ","Counter({'InceptionResNetV2': 1, 'Xception': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",6,",",None
"batchId ,",93.0,",overall_accuracy, ",75.32258064516128,",step_accuracy, ",78.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",","[[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f886cd0d7b8>]], [['Xception', <tensorflow.python.keras.engine.functional.Functional object at 0x7f887265cf28>]]]"
"batchId ,",94.0,",overall_accuracy, ",75.27127659574468,",step_accuracy, ",70.5,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",['Xception']
"batchId ,",95.0,",overall_accuracy, ",75.26842105263158,",step_accuracy, ",75.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",None
"batchId ,",96.0,",overall_accuracy, ",75.21354166666666,",step_accuracy, ",70.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",6,",",['MobileNet']
"batchId ,",97.0,",overall_accuracy, ",75.22680412371135,",step_accuracy, ",76.5,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",6,",",None
"batchId ,",98.0,",overall_accuracy, ",75.18877551020408,",step_accuracy, ",71.5,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",['MobileNetV2']
"batchId ,",99.0,",overall_accuracy, ",75.16666666666667,",step_accuracy, ",73.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",8,",",['InceptionV3']
"batchId ,",100.0,",overall_accuracy, ",75.175,",step_accuracy, ",76.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",8,",",None
"batchId ,",101.0,",overall_accuracy, ",75.21782178217822,",step_accuracy, ",79.5,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",","[[['InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7f886b1e5240>]], [['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f886bd54198>]], [['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f886c424ef0>]]]"
